# Sample log with standard date-time timestamps (milliseconds are optional)
# NB: extra columns beyond "ts;name;val" are considered comments
2019-01-01T00:00:10;p;1
2019-01-01T00:00:10;q;0
2019-01-01T00:00:11;q;1
2019-01-01T00:00:12;p;0
2019-01-01T00:00:14;p;1
2019-01-01T00:00:15;q;0
2019-01-01T00:00:16;p;0
2019-01-01T00:00:17;p;1
2019-01-01T00:00:18;p;0
2019-01-01T00:00:19;q;1
2019-01-01T00:00:20;p;1
2019-01-01T00:00:21;p;0
2019-01-01T00:00:22;p;1
2019-01-01T00:00:23;p;0
2019-01-01T00:00:24;q;0
